Category,Restaurant Address,Restaurant Name,Restaurant Price Range,Restaurant Latitude,Restaurant Longitude,Review Rate
American (Traditional),"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,$11-30,43.701559,-79.39763,1.4
American (Traditional),"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,$11-30,43.701559,-79.39763,2.5
American (Traditional),"60 Richmond Street E
Toronto, ON M5C 1N8",Hawthorne Food and Drink,$11-30,43.652368,-79.376226,3
American (Traditional),"390 Queens Quay W
Toronto, ON M5V 3A6",Loch & Quay,$11-30,43.638431,-79.390636,2
American (Traditional),"1422 Dundas Street W
Toronto, ON M6J 1Y5",Egg Sunrise Grill,Under $10,43.649729,-79.429364,0.1
American (Traditional),"87 Laird Drive
Toronto, ON M4G 3T7",Amsterdam Barrel House,NA,43.70573,-79.361508,4.7
American (Traditional),"1438 Dundas Street W
Toronto, ON M6J 3L5",The Federal,$11-30,43.649611,-79.430139,2.6
American (Traditional),"1910 Queen Street E
Toronto, ON M4L 1H5",Breakwall BBQ,$11-30,43.669324,-79.304498,2.6
American (Traditional),"575 Mt Pleasant Road
Toronto, ON M4S 2M6",Bolands Kitchen,$31-60,43.70346,-79.387981,3.2
American (Traditional),"225 Church Street
Toronto, ON M5B 1E1",Layalina Shisha & Coffee,Under $10,43.656314,-79.376906,3.6
American (Traditional),"99 Queen Street E
Toronto, ON M5C 1S2",The Carbon Bar,$31-60,43.653187,-79.374787,3
American (Traditional),"1871 O'Connor Drive
Toronto, ON M4A 1X1",Frog and the Crown,$11-30,43.722377,-79.303025,2.6
American (Traditional),"14 Madison Avenue
Toronto, ON M5R 2S1",Madison Avenue Pub & Restaurant,$11-30,43.667846,-79.403299,2.8
American (Traditional),"3353 Yonge Street
Toronto, ON M4N 2M6",The Monkey Bar,$31-60,43.731489,-79.403703,1.8
American (Traditional),"250 Adelaide Street W
Toronto, ON M5H 1X6",Rock ‘n’ Horse Saloon,$11-30,43.648171,-79.389077,2.1
American (Traditional),"2674 Yonge Street
Toronto, ON M4N 2H7",Sugar Miracles,Under $10,43.716805,-79.400696,2.4
American (Traditional),"1382 Danforth Avenue
Toronto, ON M4J 1M9",The Wren,$11-30,43.68241,-79.32805,4.8
American (Traditional),"410 Bloor Street W
Toronto, ON M5S",El Furniture Warehouse,Under $10,43.665906,-79.408061,2.3
American (Traditional),"55 Bloor Street W
51st Floor
Toronto, ON M4W 1A5",The One Eighty,$31-60,43.66975,-79.389234,3.7
American (Traditional),"589 King Street W
Toronto, ON M5V 1M5",Home Of The Brave,$11-30,43.644159,-79.400247,0.9
American (Traditional),Delta Hotels by Marriott Toronto East,T.W.’s Bar,NA,43.777119,-79.282865,3.7
American (Traditional),"525 Mount Pleasant Road
Toronto, ON M4S 2M4",Five 2 Five,NA,43.702167,-79.387413,3.5
American (Traditional),"382 Yonge Street
Unit 8
Toronto, ON M5B 1S8",Duke’s Refresher + Bar,$11-30,43.659044,-79.383071,3.6
American (Traditional),"955 Gerrard Street E
Toronto, ON M4M 1Z4",Maple Leaf Tavern,$31-60,43.668182,-79.339783,4.5
American (Traditional),"936 Eglinton Avenue W
Toronto, ON M6C 2C2",3 Eggs All Day Pub & Grill,$11-30,43.700519,-79.428463,1.3
American (Traditional),"1952 Danforth Avenue
Toronto, ON M4C 1J4",The Groove Bar & Grill,Under $10,43.685292,-79.315544,4.1
American (Traditional),"250 Adelaide Street W
Toronto, ON M5H 1X6",The Porch Toronto,$11-30,43.648213,-79.389095,4.7
American (Traditional),"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,$31-60,43.65516,-79.412779,4.4
American (Traditional),"1154 Queen Street W
Toronto, ON M6J 1J5",Death & Taxes Free House,$11-30,43.643079,-79.424937,4.5
American (Traditional),"30 Mercer St
Toronto, ON M5V",Victor,$31-60,43.645746,-79.39079,0.2
American (Traditional),"3400 Danforth Ave
Toronto, ON M1L 1E1",Swiss Chalet Rotisserie & Grill,$31-60,43.694373,-79.276012,2
American (Traditional),"686 Queen Street E
Toronto, ON M4M 1H1",Aft Kitchen & Bar,$11-30,43.658809,-79.350781,4.9
American (Traditional),"474 Adelaide Street E
Toronto, ON M5A 4L6",Banknote Bar,Under $10,43.652609,-79.366084,3.7
American (Traditional),"270 Coxwell Avenue
Toronto, ON M4L 3B6",JP Restaurant,NA,43.67308,-79.319554,4.7
American (Traditional),"535 Mt. Pleasant Road.
Toronto, ON M4S 2M5",The Belsize Public House,$11-30,43.702655,-79.3877,3.4
American (Traditional),"207 Queens Quay W
Toronto, ON M5J 1A7",The Goodman Pub & Kitchen,$11-30,43.639104,-79.380246,3.3
American (Traditional),"403 Roncesvalles Avenue
Toronto, ON M6R 2N1",Gate 403 Bar & Grill,$11-30,43.650948,-79.450854,2.1
American (Traditional),"10 Dufferin Street
Toronto, ON M6K 3C3",Medieval Times Toronto,Above $61,43.633528,-79.425126,4.2
American (Traditional),"1077 Bloor St W
Toronto, ON M6H 1M5",Black Briik Restobar,$11-30,43.660093,-79.433138,3.6
American (Traditional),"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,$11-30,43.701559,-79.39763,1.2
American (Traditional),"60 Richmond Street E
Toronto, ON M5C 1N8",Hawthorne Food and Drink,$11-30,43.652368,-79.376226,4.6
American (Traditional),"62 Overlea Boulevard
Toronto, ON M4H 1C4",Watan Pizza and Grill,NA,43.707861,-79.343364,2.8
American (Traditional),"20 College Street
Toronto, ON M5G 1K2",Fran’s Restaurant,$11-30,43.661451,-79.384068,0.9
American (Traditional),"400 Eastern Ave
Toronto, ON M4M 1B9",L’Orto,NA,43.656956,-79.345577,0.2
American (Traditional),"1071 Shaw Street
Toronto, ON M6G 3N4",Universal Grill,$11-30,43.670521,-79.42644,1.9
American (Traditional),"1028 Danforth Avenue
Toronto, ON M4J 1M2",Holy Chicken,$11-30,43.680763,-79.336528,2.7
American (Traditional),"538 Church Street
Toronto, ON M4Y 2E1",Cafe California Restaurant,$11-30,43.664789,-79.380812,2.9
American (Traditional),"1749 Avenue Road
Toronto, ON M5M 3Y8",Safari Bar & Grill,$11-30,43.729049,-79.41802,1
American (Traditional),"80 Blue Jays Way
44th Floor
Toronto, ON M5V 2G3",Kost,$31-60,43.64531,-79.392459,3.6
American (Traditional),"1094 Yonge Street
Toronto, ON M4W 2L6",Pantry,NA,43.678317,-79.390196,3.3
American (Traditional),"1294 Gerrard Street E
Toronto, ON M4L 1Y7",Tea N Bannock,$11-30,43.671182,-79.327356,4.2
American (Traditional),"577 College Street
Toronto, ON M6G 1B2",Sidecar,$31-60,43.6552,-79.413083,3.6
American (Traditional),"250 Adelaide Street W
Toronto, ON M5H 1X6",The Porch Toronto,$11-30,43.648213,-79.389095,0.4
American (Traditional),"800 Dundas Street W
Toronto, ON M6J 1V1",Old School,$11-30,43.651922,-79.408363,2.2
American (Traditional),"Westin Prince
900 York Mills Road
Toronto, ON M3B",Seasons at The Prince,$31-60,43.756283,-79.349506,2.7
American (Traditional),"Toronto, ON",Food Cabbie,Under $10,43.653226,-79.383184,1
American (Traditional),"25 The West Mall
Toronto, ON M9C 1B8",Bazille,NA,43.611693,-79.557183,4.6
American (Traditional),"2-20 College Street
Toronto, ON M5G 1K2",Upper Deck By Fran’s,$11-30,43.661451,-79.384068,4.6
American (Traditional),"15 Carlson Court
Toronto, ON M9W 6A2",Tucker’s Marketplace,$11-30,43.689031,-79.585131,2.8
American (Traditional),"164 Bathurst Street
Toronto, ON M5V 2R3",The Football Factory,$11-30,43.646321,-79.403861,4.4
American (Traditional),"22 Front Street W
Toronto, ON M5J 1C4",The Bottom Line,$11-30,43.646521,-79.37788,1.5
American (Traditional),"1544 Bayview Avenue
Toronto, ON M4G 3B6",McSorley’s Wonderful Saloon & Grill,$11-30,43.704737,-79.375121,3.6
American (Traditional),"804 O'Connor Drive
Toronto, ON M4B 2S9",Jawny Bakers Restaurant,$11-30,43.70557,-79.312798,4.7
American (Traditional),"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,$31-60,43.65516,-79.412779,1.3
American (Traditional),"60 Richmond Street E
Toronto, ON M5C 1N8",Hawthorne Food and Drink,$11-30,43.652368,-79.376226,4.2
American (Traditional),"577 College Street
Toronto, ON M6G 1B2",Sidecar,$31-60,43.6552,-79.413083,3.8
American (Traditional),"2340 Dundas Street W
Suite G-02
Toronto, ON M6P 4A9",The Bond Pub,$11-30,43.656982,-79.452426,2.2
American (Traditional),"696 Queen Street E
Toronto, ON M4M 1G9",Prohibition Gastrohouse,$11-30,43.658879,-79.350345,4.2
American (Traditional),"76 Gerrard Street E
Toronto, ON M5G 2A7",Lou Dawg’s,$11-30,43.660128,-79.378152,1.4
American (Traditional),"389 Danforth Ave
Toronto, ON M4K 1P1",Detroit Eatery,Under $10,43.677468,-79.3517,2.7
American (Traditional),"1962 Eginton Avenue W
Toronto, ON M6E 4E6",Yummy Tummy’s Bar & Grill,NA,43.694983,-79.454195,1.7
American (Traditional),"3120 Dufferin St
Toronto, ON M6A 2S6",Harvey’s Restaurants,Under $10,43.715348,-79.455354,0.2
American (Traditional),"413 Roncesvalles Avenue
Toronto, ON M6R 2N1",The Westerly,$11-30,43.651201,-79.450783,2.3
American (Traditional),"49 Eglinton Ave E
Toronto, ON M4P 1G6",Swiss Chalet Rotisserie & Grill,$11-30,43.707002,-79.396466,1.8
American (Traditional),"1185 Brimley Road
Toronto, ON M1P 3G2",Wings & Wings,$11-30,43.764909,-79.259133,1
American (Traditional),"426 Danforth Avenue
Toronto, ON M4K 1P3",AllStar Wings and Ribs,$11-30,43.677946,-79.350992,4.7
American (Traditional),"406 Dupont Street
Toronto, ON M5R 1V9",Nord Bistro,NA,43.6739,-79.41147,3.9
American (Traditional),"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,$11-30,43.701559,-79.39763,2.3
American (Traditional),"406 Dupont Street
Toronto, ON M5R 1V9",Nord Bistro,NA,43.6739,-79.41147,1.4
American (Traditional),"99 Blue Jays Way
Toronto, ON M5V 9G9",Wayne Gretzky’s Toronto,$11-30,43.645294,-79.391674,2.8
American (Traditional),"5433 Yonge Street
Toronto, ON M2N 5R6",North Stars Bar & Grill,NA,43.776521,-79.41444,0.9
American (Traditional),"318-10 Dundas St East
Toronto, ON M5B 2L6",Harvey’s Restaurants,Under $10,43.656745,-79.380484,1.4
American (Traditional),"299 King St W
Toronto, ON M5V 1J5",N’awlins Jazz Bar & Dining,$11-30,43.646273,-79.390162,3
American (Traditional),"142 Cumberland St
Toronto, ON M5R 1A8",Hemingway’s Restaurant,$11-30,43.670074,-79.3928,1.4
American (Traditional),"50 Norfinch Drive
Toronto, ON M3N 1X1",Element Lounge and Restaurant,$11-30,43.757051,-79.528484,1.8
American (Traditional),"107 Church Street
Toronto, ON M5C 2G5",Wild Wing,$11-30,43.652691,-79.375413,1.7
American (Traditional),"3401 Dufferin Street
Unit 30
Toronto, ON M6A 3A1",Moxie’s Grill & Bar,$11-30,43.726654,-79.451636,1
American (Traditional),"One King West Hotel & Residence
1 King Street W
Toronto, ON M5H 1A1",Teller’s Bar and Lounge,$11-30,43.648858,-79.378145,2.6
American (Traditional),"Scotiabank Pond
57 Carl Hall Road
Toronto, ON M3K",The Penalty Box,NA,43.747518,-79.476614,4.5
American (Traditional),"230 Adelaide Street W
Toronto, ON M5H 1W7",Copacabana Brazilian Steakhouse,$31-60,43.648344,-79.387831,1.3
American (Traditional),"250 Adelaide Street W
Toronto, ON M5H 1X6",The Porch Toronto,$11-30,43.648213,-79.389095,3.9
American (Traditional),"410 Adelaide Street W
Toronto, ON M5V 1S8",Craft Kitchen,$11-30,43.646647,-79.396602,1.8
American (Traditional),"756 Toula Drive
Toronto, ON L6E 1O9",Blast from the Past,Under $10,43.690552,-79.326009,2.3
American (Traditional),"1641 Queen St E
Toronto, ON M4L 1G4",Harvey’s Restaurants,$11-30,43.666658,-79.315113,2.8
American (Traditional),"1100 O'Connor Dr
Toronto, ON M4B 3L4",Harvey’s Restaurants,$11-30,43.710996,-79.309017,4.3
American (Traditional),"528 Yonge Street
Toronto, ON M4Y 1X9",St. Louis Bar & Grill,$11-30,43.663786,-79.384234,0.1
American (Traditional),"75 Hanna Ave
Toronto, ON M6K 3N7",Harvey’s Restaurants,Under $10,43.640182,-79.419003,1.3
American (Traditional),"1660 Bayview Ave
Toronto, ON M4G 3C2",Originals Bar,$11-30,43.707284,-79.376091,2.2
American (Traditional),"240 King Street E
Toronto, ON M5A 1K1",Betty’s,$11-30,43.651577,-79.367438,0.8
American (Traditional),"50 Gerrard Street E
Toronto, ON M5B 1J6",Steak & Cheese Factory,Under $10,43.659910000000004,-79.37929,3.1
American (Traditional),"2737 Danforth Avenue
Toronto, ON M4C 1L8",Reidies Patties,NA,43.688987,-79.297448,1.2
American (Traditional),"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,$31-60,43.65516,-79.412779,0.5
American (Traditional),"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,$11-30,43.701559,-79.39763,0.6
American (Traditional),"406 Dupont Street
Toronto, ON M5R 1V9",Nord Bistro,NA,43.6739,-79.41147,2.2
American (Traditional),"561 Danforth Ave.
Toronto, ON M4K 1P9",St. Louis Bar & Grill,$11-30,43.678267,-79.347056,3.6
American (Traditional),"2171 Steeles Ave W
Toronto, ON M3J 3N2",East Side Mario’s,$11-30,43.785618,-79.476049,2.9
American (Traditional),"807 Queen Street W
Toronto, ON M6J 1G1",Squirly’s,$11-30,43.646095,-79.408894,3.6
American (Traditional),"245 Eglinton Avenue E
Toronto, ON M4P 3B7",Granite Brewery & Restaurant,$11-30,43.708176,-79.38957,0.8
American (Traditional),"1521 Yonge St
Toronto, ON M4T 1Z2",Harvey’s Restaurants,$11-30,43.689609,-79.394409,4.4
American (Traditional),"104 -509 St Clair Ave West
Toronto, ON M6C 1A1",Harvey’s Restaurants,Under $10,43.682926,-79.418604,1.3
American (Traditional),"364 Danforth Avenue
Toronto, ON M4K 2Z1",Burger Stomper,$11-30,43.677459,-79.352397,2
American (Traditional),"Viron Lane
Toronto, ON",Morgan’s Resturand,NA,43.671845,-79.356995,3.2
American (Traditional),"663 King Street W
Toronto, ON M5V 1M5",Banknote Bar,$11-30,43.643845,-79.402362,4.5
American (Traditional),"376 Bloor Street W
Toronto, ON M5S 1X2",St. Louis Bar & Grill,$11-30,43.6663,-79.406203,2.3
American (Traditional),"230 Adelaide Street W
Toronto, ON M5H 1W7",Copacabana Brazilian Steakhouse,$31-60,43.648344,-79.387831,4.6
American (Traditional),"250 Adelaide Street W
Toronto, ON M5H 1X6",The Porch Toronto,$11-30,43.648213,-79.389095,4.7
American (Traditional),"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,$31-60,43.65516,-79.412779,4.8
American (Traditional),"280 Adelaide Street W
Toronto, ON M5V 1P6",Hooters,NA,43.648006,-79.390565,3.4
American (Traditional),"200 Bay St
Unit F3
Toronto, ON M5J 2J1",Harvey’s Restaurants,NA,43.646441,-79.380079,1.1
American (Traditional),"266 Queens Quay West
Toronto, ON M5J 2N4",Harvey’s Restaurants,NA,43.639094,-79.386103,0.6
American (Traditional),"Sheraton Centre Toronto Hotel
123 Queen Street W
Toronto, ON M5H 3M9",BnB Bistro,$11-30,43.651181,-79.384465,5
American (Traditional),"220 King St W
Toronto, ON M5H 1K4",Quotes Restaurant,NA,43.647285,-79.387076,2.4
American (Traditional),"2700 St Clair Avenue W
Unit 1
Toronto, ON M6N 1M2",Twenty Two Lounge Espresso Bar & Grill,$11-30,43.666432,-79.498194,0.1
American (Traditional),"835 Kipling Avenue
Toronto, ON M8Z 5G8",Frank’s Place,NA,43.632831,-79.531333,2
American (Traditional),"1159 Davenport Road
Toronto, ON M6H 2G4",The Gem,$11-30,43.674608,-79.432096,0
American (Traditional),"301 Front Street W
Toronto, ON M5V 2T6",Horizons Restaurant,$11-30,43.642566,-79.387056,0.3
American (Traditional),"900 Don Mills Rd
Toronto, ON M3C 1V6",Swiss Chalet Rotisserie & Grill,$11-30,43.726987,-79.341494,0.5
American (Traditional),"1077 Bloor St W
Toronto, ON M6H 1M5",Black Briik Restobar,$11-30,43.660093,-79.433138,2.8
American (Traditional),"406 Dupont Street
Toronto, ON M5R 1V9",Nord Bistro,NA,43.6739,-79.41147,4.1
American (Traditional),"250 Adelaide Street W
Toronto, ON M5H 1X6",Rock ‘n’ Horse Saloon,$11-30,43.648171,-79.389077,4.9
American (Traditional),"1915 Yonge Street
Toronto, ON M4S 1Z3",Kramer’s Bar & Grill,$11-30,43.698638,-79.396331,3.1
American (Traditional),"117 John Street
Toronto, ON M5V 2E2",The Office Pub,$11-30,43.648182,-79.390206,3.5
American (Traditional),"362 Yonge St
Toronto, ON M5B 1S5",Swiss Chalet Rotisserie & Grill,$11-30,43.658317,-79.382174,2.7
American (Traditional),"1384 Queen St W
Toronto, ON M6K 1L7",Happy Time Restaurant,NA,43.641365,-79.433472,3.8
American (Traditional),"590 Keele St
Toronto, ON M6N 3E2",Harvey’s Restaurants,$11-30,43.67149,-79.467331,1.5
American (Traditional),"595 Bay Street
Unit A08
Toronto, ON M5G 2C2",St. Louis Bar & Grill,$11-30,43.65622,-79.383291,4.4
American (Traditional),"266 Queens Quay W
Toronto, ON M5J 1B5",Swiss Chalet Rotisserie & Grill,$11-30,43.639094,-79.386103,0.4
American (Traditional),"4211 Yonge St
Toronto, ON M2P 1N9",Swiss Chalet Rotisserie & Grill,$11-30,43.747545,-79.407313,3
American (Traditional),"900 Dufferin Street
Toronto, ON M6H 4B1",New York Fries,NA,43.656822,-79.435567,2.8
American (Traditional),"65 Jefferson Avenue
Toronto, ON M6K 1Y3",Liberty Village Market & Cafe,Under $10,43.637849,-79.42127,4.7
American (Traditional),"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,$31-60,43.65516,-79.412779,3.7
American (Traditional),"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,$11-30,43.701559,-79.39763,2.9
American (Traditional),"406 Dupont Street
Toronto, ON M5R 1V9",Nord Bistro,NA,43.6739,-79.41147,4.5
American (Traditional),"278 Jarvis St
Toronto, ON M5B 2C5",Harvey’s Restaurants,Under $10,43.660541,-79.376142,2.6
American (Traditional),"362 Bloor Street W
Suite 3
Toronto, ON M5S 1X2",The Puck Sports Bar and Grill,$11-30,43.666441,-79.405658,0.1
American (Traditional),"432 College Street
Toronto, ON M5T 1T3",Mars Food,Under $10,43.656725,-79.407225,3
American (Traditional),"250 Adelaide Street W
Toronto, ON M5H 1X6",Rock ‘n’ Horse Saloon,$11-30,43.648171,-79.389077,3.7
American (Traditional),"1791 Ave Rd
Toronto, ON M5M 3Z3",Harvey’s Restaurants,Under $10,43.730173,-79.418561,3.6
American (Traditional),"346 Bloor St W
Toronto, ON M5S 1W9",Swiss Chalet Rotisserie & Grill,NA,43.66673,-79.404506,4.2
American (Traditional),"490 Bloor Street W
Toronto, ON M5S 1X8",Smoke’s Poutinerie,Under $10,43.66561,-79.40983,2.3
American (Traditional),"313 Bremner Blvd
Toronto, ON M5V 3V3",St. Louis Bar & Grill,$11-30,43.64041,-79.390461,3.6
American (Traditional),"2075 Bayview Ave
Toronto, ON M4N 3M5",Swiss Chalet Rotisserie & Grill,NA,43.721704,-79.376008,1.1
American (Traditional),"200 Victoria Street
Toronto, ON M5B 2R3",Fran’s Restaurant,$11-30,43.654397,-79.379065,1
American (Traditional),"230 Adelaide Street W
Toronto, ON M5H 1W7",Copacabana Brazilian Steakhouse,$31-60,43.648344,-79.387831,1.6
American (Traditional),"250 Adelaide Street W
Toronto, ON M5H 1X6",Rock ‘n’ Horse Saloon,$11-30,43.648171,-79.389077,0.6
American (Traditional),"35 Sheppard Ave E
Toronto, ON M2N 2Z8",Adams Burger Bar,NA,43.761702,-79.409101,0
American (Traditional),"2035 Kennedy Rd
Toronto, ON M1S 0G5",Whitesides Terrace Grille,$31-60,43.776958,-79.283745,2.6
American (Traditional),"1560 Yonge St
Unit 107
Toronto, ON M4T 2S9",Swiss Chalet Rotisserie & Grill,$11-30,43.68993,-79.394941,1.3
American (Traditional),"12 Kensington Ave
Toronto, ON M5T 2J7",The Last Temptation,Under $10,43.653177,-79.400335,3.1
American (Traditional),"250 Adelaide Street W
Toronto, ON M5H 1X6",The Porch Toronto,$11-30,43.648213,-79.389095,4.5
American (Traditional),"949 Eglinton Ave W
Toronto, ON M6C 2C3",Swiss Chalet Rotisserie & Grill,NA,43.700144,-79.428499,1.3
American (Traditional),"3140 Dufferin Avenue
Unit 102
Toronto, ON M6A 2T1",Swiss Chalet Rotisserie & Grill,$11-30,43.716649,-79.45631,4.2
American (Traditional),"590 Keele St
Toronto, ON M6N 3E2",Swiss Chalet Rotisserie & Grill,$11-30,43.671593,-79.467455,1
American (Traditional),"2674 Yonge Street
Toronto, ON M4N 2H7",Sugar Miracles,Under $10,43.716805,-79.400696,3.2
American (Traditional),"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,$11-30,43.701559,-79.39763,3
American (Traditional),"406 Dupont Street
Toronto, ON M5R 1V9",Nord Bistro,NA,43.6739,-79.41147,0.7
American (Traditional),"Sheraton Hotel
123 Queen St W
Toronto, ON M5H 3K6",Trader’s,NA,43.65133,-79.384306,4.2
American (Traditional),"924 Dixon Road
Toronto, ON M9W 1J9",Airport Gate Cafe & Grill,$11-30,43.687412,-79.596681,4.3
American (Traditional),"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,$11-30,43.701559,-79.39763,0.7
American (Traditional),"2408 Danforth Ave
Toronto, ON M4C 1K9",Scrumdelicious,NA,43.687745,-79.305161,1.8
American (Traditional),"1557 The Queensway
Toronto, ON M8Z 1T8",Wild Wing,$11-30,43.617465,-79.538525,0.4
American (Traditional),"3253 Bayview Ave
Toronto, ON M2K 1G4",Swiss Chalet Rotisserie & Grill,$11-30,43.788697,-79.392851,2.7
American (Traditional),"1255 The Queensway
Toronto, ON M8Z 1S1",Swiss Chalet Rotisserie & Grill,$11-30,43.620342,-79.523957,2.5
American (Traditional),"1 First Canadian Place
100 King ST W
Toronto, ON M5X 1E1",Swiss Chalet Rotisserie & Grill,NA,43.648566,-79.381807,2.2
American (Traditional),"Toronto Islands
Toronto, ON M5J 1A1",The Carousel Café,$11-30,43.628947,-79.39442,3.2
American (Traditional),"416 Roncesvalles Avenue
Toronto, ON M6R 2N2",Loons Restaurant & Pub,$11-30,43.65173,-79.45126,3.4
American (Traditional),"200 Wellington Street W
Toronto, ON M5V 3C7",Harvest Green,Under $10,43.645852,-79.387863,2
American (Traditional),"406 Dupont Street
Toronto, ON M5R 1V9",Nord Bistro,NA,43.6739,-79.41147,3
American (Traditional),"250 Adelaide Street W
Toronto, ON M5H 1X6",The Porch Toronto,$11-30,43.648213,-79.389095,1.2
American (Traditional),"20 Dundas Street West
Toronto, ON M5G 2C2",Red Lobster,$11-30,43.656363,-79.383616,0.5
American (Traditional),"269 Stn Commerce Court
Toronto, ON M5L 1E9",Harvey’s Restaurants,NA,43.647869,-79.379465,4.8
American (Traditional),"46 Blue Jays Way
Toronto, ON M5V 2G3",Wahlburgers,$11-30,43.644733,-79.391851,1.8
American (Traditional),"1400 O'Connor Dr
Toronto, ON M4B 2T8",Swiss Chalet Rotisserie & Grill,$11-30,43.712856,-79.307552,3.9
American (Traditional),"2555 Victoria Park Ave
Toronto, ON M1T 1A3",Swiss Chalet Rotisserie & Grill,$11-30,43.773305,-79.321704,2.1
American (Traditional),"60 Overlea Blvd
Toronto, ON M4H 1B6",Swiss Chalet Rotisserie & Grill,$11-30,43.707786,-79.344355,4.1
American (Traditional),"700 University Ave
Toronto, ON M5G 1Z5",Swiss Chalet Rotisserie & Grill,$11-30,43.659503,-79.390912,3.8
American (Traditional),"79 Wellington Street W
TD South Tower, 36th Fl.
Toronto, ON M5K 1J5",Stratus Restaurant,NA,43.646947,-79.381626,1.2
American (Traditional),"900 Dufferin St
Unit 3
Toronto, ON M6H 4A9",Swiss Chalet Rotisserie & Grill,$11-30,43.656013,-79.435247,0.9
American (Traditional),"Toronto Island Marina
Centre Island
Centre Island, ON",Upper Deck Bar,$11-30,43.623677,-79.38137,2.5
American (Traditional),"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,$31-60,43.65516,-79.412779,4.5
American (Traditional),"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,$11-30,43.701559,-79.39763,3.6
